CustomerID;DateOfBirth;Gender;CreditScore;ScoreDate;CreditSource;CreditUtilization;RiskScore;RiskCategory
C0001;2006-03-29;Female;599;2023-05-30;Equifax;73.87;75.89;High
C0001;2006-03-29;Female;599;2023-05-30;Equifax;73.87;11.00;High
C0002;1973-09-17;Male;782;2023-12-02;TransUnion;5.91;34.72;Low
C0002;1973-09-17;Male;782;2023-12-02;TransUnion;5.91;25.40;Low
C0003;1972-09-13;Female;539;2023-12-24;Equifax;3.83;82.65;Low
C0003;1972-09-13;Female;539;2023-12-24;Equifax;3.83;81.08;Low
C0004;2003-07-27;Male;532;2023-12-25;Equifax;25.12;48.73;High
C0004;2003-07-27;Male;532;2023-12-25;Equifax;25.12;26.31;Low
C0005;1981-06-15;Male;553;2023-06-18;TransUnion;24.75;73.58;High
C0005;1981-06-15;Male;553;2023-06-18;TransUnion;24.75;9.63;High
C0006;2007-04-15;Female;618;2023-01-23;Equifax;63.44;75.85;Medium
C0006;2007-04-15;Female;618;2023-01-23;Equifax;63.44;54.57;Low
C0007;1987-09-13;Female;735;2023-11-01;TransUnion;46.75;81.39;High
C0007;1987-09-13;Female;735;2023-11-01;TransUnion;46.75;5.89;High
C0008;1968-05-04;Male;400;2023-05-10;Experian;5.74;62.99;High
C0008;1968-05-04;Male;400;2023-05-10;Experian;5.74;97.82;Low
C0009;1988-10-26;Male;653;2023-01-08;Experian;72.32;66.64;Low
C0009;1988-10-26;Male;653;2023-01-08;Experian;72.32;41.74;Medium
C0010;2014-05-06;Male;575;2023-02-02;TransUnion;42.43;90.16;High
C0010;2014-05-06;Male;575;2023-02-02;TransUnion;42.43;38.60;High
C0011;1970-05-06;Male;582;2023-02-24;Experian;54.21;61.20;Medium
C0011;1970-05-06;Male;582;2023-02-24;Experian;54.21;13.09;Low
C0012;1977-04-14;Male;509;2023-02-05;Equifax;38.92;54.02;High
C0012;1977-04-14;Male;509;2023-02-05;Equifax;38.92;13.31;Low
C0013;1968-06-12;Male;369;2023-05-04;Experian;47.58;68.99;Low
C0013;1968-06-12;Male;369;2023-05-04;Experian;47.58;11.64;Medium
C0014;2004-12-01;Female;695;2023-01-02;TransUnion;28.11;71.85;Medium
C0014;2004-12-01;Female;695;2023-01-02;TransUnion;28.11;60.97;Low
C0015;1985-04-02;Female;833;2023-11-25;Equifax;27.93;15.16;Medium
C0015;1985-04-02;Female;833;2023-11-25;Equifax;27.93;33.74;High
C0016;2000-10-21;Male;709;2023-10-14;TransUnion;12.74;66.72;Low
C0016;2000-10-21;Male;709;2023-10-14;TransUnion;12.74;59.05;Medium
C0017;1969-01-19;Male;634;2023-08-13;Experian;36.71;12.72;Low
C0017;1969-01-19;Male;634;2023-08-13;Experian;36.71;28.47;Medium
C0018;1965-10-28;Male;458;2023-03-20;Experian;39.38;75.69;High
