LoanID;CustomerID;LoanType;Status;RecoveryStatus;StartDate;EndDate;DefaultDate;PrincipalAmount;TotalPaid;InterestRate;PaymentDate;PaymentAmount;MissedPayment
L0001;C0001;Personal;Defaulted;"Fully Recovered";2019-05-27;2037-11-05;NULL;40904.47;47253.94;9.87;2022-04-05;2413.26;0
L0001;C0001;Personal;Defaulted;"Fully Recovered";2019-05-27;2037-11-05;NULL;40904.47;47253.94;9.87;2022-03-03;2190.77;0
L0001;C0001;Personal;Defaulted;"Fully Recovered";2019-05-27;2037-11-05;NULL;40904.47;47253.94;9.87;2022-02-05;1360.62;1
L0001;C0001;Personal;Defaulted;"Fully Recovered";2019-05-27;2037-11-05;NULL;40904.47;47253.94;9.87;2022-01-04;640.65;0
L0002;C0002;Business;Active;"Partially Recovered";2023-09-14;2033-09-05;NULL;49632.00;735.76;9.13;2022-04-10;2930.97;1
L0002;C0002;Business;Active;"Partially Recovered";2023-09-14;2033-09-05;NULL;49632.00;735.76;9.13;2022-03-11;3329.25;0
L0002;C0002;Business;Active;"Partially Recovered";2023-09-14;2033-09-05;NULL;49632.00;735.76;9.13;2022-01-31;3423.70;0
L0002;C0002;Business;Active;"Partially Recovered";2023-09-14;2033-09-05;NULL;49632.00;735.76;9.13;2022-01-03;3559.16;1
L0003;C0003;Business;Active;"Fully Recovered";2020-02-14;2033-06-26;NULL;63909.44;21171.33;9.29;2022-04-03;373.65;0
L0003;C0003;Business;Active;"Fully Recovered";2020-02-14;2033-06-26;NULL;63909.44;21171.33;9.29;2022-02-07;1492.48;0
L0003;C0003;Business;Active;"Fully Recovered";2020-02-14;2033-06-26;NULL;63909.44;21171.33;9.29;2022-01-05;881.72;0
L0004;C0005;Auto;Active;Unrecovered;2023-03-20;2036-11-09;2021-03-28;39572.00;37544.53;11.01;2022-04-10;1440.18;0
L0004;C0005;Auto;Active;Unrecovered;2023-03-20;2036-11-09;2021-03-28;39572.00;37544.53;11.01;2022-02-02;2884.28;1
L0005;C0006;Auto;Defaulted;Unrecovered;2019-03-25;2032-01-07;NULL;49516.35;24784.06;7.63;2022-04-03;1255.86;0
L0005;C0006;Auto;Defaulted;Unrecovered;2019-03-25;2032-01-07;NULL;49516.35;24784.06;7.63;2022-03-06;3095.46;0
L0005;C0006;Auto;Defaulted;Unrecovered;2019-03-25;2032-01-07;NULL;49516.35;24784.06;7.63;2022-02-08;2918.19;0
L0005;C0006;Auto;Defaulted;Unrecovered;2019-03-25;2032-01-07;NULL;49516.35;24784.06;7.63;2022-01-08;3105.98;1
L0006;C0008;Business;Closed;"Fully Recovered";2015-03-24;2038-07-11;NULL;98079.02;28382.43;7.89;2022-03-05;753.94;0
L0006;C0008;Business;Closed;"Fully Recovered";2015-03-24;2038-07-11;NULL;98079.02;28382.43;7.89;2022-02-06;1396.71;0
L0006;C0008;Business;Closed;"Fully Recovered";2015-03-24;2038-07-11;NULL;98079.02;28382.43;7.89;2022-01-10;3403.10;0
L0007;C0009;Personal;Active;"Partially Recovered";2021-02-18;2030-02-27;2022-04-17;67382.07;79970.84;3.96;2022-03-08;3360.09;0
L0007;C0009;Personal;Active;"Partially Recovered";2021-02-18;2030-02-27;2022-04-17;67382.07;79970.84;3.96;2022-02-06;505.23;0
L0007;C0009;Personal;Active;"Partially Recovered";2021-02-18;2030-02-27;2022-04-17;67382.07;79970.84;3.96;2022-01-08;1027.06;1
